feature,importance
ingresos_totales,0.0
liquidez,0.0
dias_efectivo,0.0
cfo,0.0
participacion_ley30,0.0
participacion_regalias,0.0
participacion_servicios,0.0
participacion_matriculas,0.0
hhi_fuentes,0.0
endeudamiento,0.0
tendencia_ingresos,0.0
gp_ratio,0.0
