Model,Labels,Accuracy,F1-Score,AUC-ROC,AUC-PR
Random Forest,Original,0.8333333333333334,0.7777777777777778,0.90234375,0.8586747198879552
Random Forest,Reevaluated,0.6666666666666666,0.6363636363636364,0.8407407407407408,0.8179012345679013
Logistic Regression,Original,0.9166666666666666,0.875,0.9765625,0.9659090909090909
Logistic Regression,Reevaluated,0.7916666666666666,0.7368421052631579,0.8888888888888888,0.886204481792717
